0
AARS
ACAA1
ACBD3
ADH5
ADRB2
BACE2
BAD
BAMBI
CASP10
CBLB
CERK
COG7
CRYZ
CSRP1
CTNNAL1
DNAJA3
DNAJC15
EGF
EGR1
EPHA3
EVL
FBXO21
FGFR4
FYN
GADD45A
GAPDH
GHR
GNA15
GNAI2
HDAC2
HOMER2
HOXA5
KCNK1
KCTD5
KDM3A
KLHL9
LIPA
MAMLD1
MAP3K4
MAPKAPK3
MMP1
NOS3
NRIP1
PCCB
PCK2
PEX11A
PNP
POLE2
PPP2R3C
PRCP
PTGS2
PTK2B
PTPRK
PXN
RGS2
RPP38
SOCS2
SPAG4
SYPL1
TARBP1
TCTN1
TFDP1
TLK2
TRIB3
TRIM2
TXNDC9
UBE3B
UFM1
ZMIZ1
