0
ABCF3
ABHD6
ACAA1
ADAT1
ADRB2
ALDOC
ANO10
ARID5B
ATP2C1
ATP6V1D
BAMBI
BAX
BZW2
C2CD2
CCNB1
CD320
CD44
CIRBP
CNPY3
COG2
CORO1A
CPNE3
CRK
CSNK1E
CSRP1
DAG1
DCUN1D4
DDR1
DHDDS
DHRS7
DNAJC15
EBNA1BP2
ECH1
EDN1
EPHA3
EXT1
EZH2
FAM20B
FHL2
FOSL1
FSD1
GALE
GLI2
GPC1
HIST1H2BK
HOMER2
HSPD1
HTRA1
IKZF1
KIT
MALT1
MAMLD1
MAPK1IP1L
MAST2
MAT2A
MLEC
MSRA
NFIL3
NFKB2
NIPSNAP1
NR1H2
NUP62
PAK4
PAN2
PGAM1
PIK3C2B
PLEKHJ1
POLB
PTPN1
PTPN12
RAB21
RALA
RBKS
RBM34
RFNG
RGS2
RPP38
RPS6
RRAGA
RTN2
S100A4
SCCPDH
SIRT3
SKIV2L
SLC25A14
SLC27A3
SLC5A6
SMC3
SPDEF
SPP1
STUB1
STX1A
TBP
TCFL5
TCTA
TES
TEX10
TGFBR2
TICAM1
TJP1
TLK2
TNFRSF21
TOMM34
TP53
TRAK2
TRIM2
TSPAN3
TSPAN6
UBE2C
UBE3B
USP22
ZNF395
ZNF586
Erlotinib
