Sample,AARS,ABCB6,ABCC5,ABCF1,ABCF3,ABHD4,ABHD6,ABL1,ACAA1,ACAT2,ACBD3,ACD,ACLY,ACOT9,ADAM10,ADAT1,ADH5,ADI1,ADO,ADRB2,AGL,AKAP8,AKAP8L,AKR7A2,AKT1,ALAS1,ALDH7A1,ALDOA,ALDOC,AMDHD2,ANKRD10,ANO10,ANXA7,APBB2,APOE,APP,APPBP2,ARFIP2,ARHGAP1,ARHGEF12,ARHGEF2,ARID4B,ARID5B,ARL4C,ARNT2,ARPP19,ASAH1,ASCC3,ATF1,ATF5,ATF6,ATG3,ATMIN,ATP11B,ATP1B1,ATP2C1,ATP5S,ATP6V0B,ATP6V1D,AURKA,AURKB,AXIN1,BACE2,BAD,BAG3,BAMBI,BAX,BCL2,BCL7B,BDH1,BECN1,BHLHE40,BID,BIRC2,BIRC5,BLCAP,BLMH,BLVRA,BMP4,BNIP3,BNIP3L,BPHL,BRCA1,BTK,BUB1B,BZW2,C2CD2,C2CD2L,C2CD5,C5,CAB39,CALM3,CALU,CAMSAP2,CANT1,CAPN1,CASC3,CASK,CASP10,CASP2,CASP3,CASP7,CAST,CAT,CBLB,CBR1,CBR3,CCDC85B,CCDC86,CCDC92,CCL2,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CCNE2,CCNF,CCNH,CCP110,CD320,CD40,CD44,CD58,CDC20,CDC25A,CDC25B,CDC42,CDC45,CDCA4,CDH3,CDK1,CDK19,CDK2,CDK4,CDK5R1,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,CEBPA,CEBPD,CEBPZ,CENPE,CEP57,CERK,CETN3,CFLAR,CGRRF1,CHAC1,CHEK1,CHEK2,CHERP,CHIC2,CHMP4A,CHMP6,CHN1,CHP1,CIAPIN1,CIRBP,CISD1,CLIC4,CLPX,CLSTN1,CLTB,CLTC,CNDP2,CNOT4,CNPY3,COASY,COG2,COG4,COG7,COL1A1,COL4A1,COPB2,COPS7A,CORO1A,CPNE3,CPSF4,CREB1,CREG1,CRELD2,CRK,CRKL,CRTAP,CRYZ,CSK,CSNK1A1,CSNK1E,CSNK2A2,CSRP1,CTNNAL1,CTNND1,CTSD,CTTN,CXCL2,CXCR4,CYB561,CYCS,CYTH1,DAG1,DAXX,DCK,DCTD,DCUN1D4,DDB2,DDIT4,DDR1,DDX10,DDX42,DECR1,DENND2D,DERA,DFFA,DFFB,DHDDS,DHRS7,DHX29,DLD,DMTF1,DNAJA3,DNAJB1,DNAJB2,DNAJB6,DNAJC15,DNM1,DNM1L,DNMT1,DNMT3A,DNTTIP2,DPH2,DRAP1,DSG2,DUSP11,DUSP22,DUSP3,DUSP4,DUSP6,DYNLT3,DYRK3,E2F2,EAPP,EBNA1BP2,EBP,ECD,ECH1,EDEM1,EDN1,EED,EFCAB14,EGF,EGFR,EGR1,EIF4EBP1,EIF4G1,EIF5,ELAC2,ELAVL1,ELOVL6,EML3,ENOPH1,ENOSF1,EPB41L2,EPHA3,EPHB2,EPN2,EPRS,ERBB2,ERBB3,ETFB,ETS1,ETV1,EVL,EXOSC4,EXT1,EZH2,FAH,FAIM,FAM20B,FAM57A,FAM69A,FAS,FASTKD5,FAT1,FBXL12,FBXO11,FBXO21,FBXO7,FCHO1,FDFT1,FEZ2,FGFR2,FGFR4,FHL2,FIS1,FKBP14,FKBP4,FOS,FOSL1,FOXJ3,FOXO3,FOXO4,FPGS,FRS2,FSD1,FUT1,FYN,FZD1,FZD7,G3BP1,GAA,GABPB1,GADD45A,GADD45B,GALE,GAPDH,GATA2,GATA3,GDPD5,GFOD1,GFPT1,GHR,GLI2,GLOD4,GLRX,GMNN,GNA11,GNA15,GNAI1,GNAI2,GNAS,GNB5,GNPDA1,GOLT1B,GPATCH8,GPC1,GRB10,GRB7,GRN,GRWD1,GSTM2,GSTZ1,GTF2A2,GTF2E2,GTPBP8,H2AFV,HADH,HAT1,HDAC2,HDAC6,HEATR1,HEBP1,HERC6,HERPUD1,HES1,HIF1A,HIST1H2BK,HIST2H2BE,HK1,HLA-DMA,HLA-DRA,HMG20B,HMGA2,HMGCR,HMGCS1,HMOX1,HOMER2,HOOK2,HOXA10,HOXA5,HPRT1,HS2ST1,HSD17B10,HSD17B11,HSPA4,HSPA8,HSPB1,HSPD1,HTATSF1,HTRA1,HYOU1,IARS2,ICAM1,ICAM3,ICMT,ID2,IDE,IER3,IFNAR1,IFRD2,IGF1R,IGF2BP2,IGF2R,IGFBP3,IGHMBP2,IKBKB,IKZF1,IL13RA1,IL1B,IL4R,ILK,INPP1,INPP4B,INSIG1,INTS3,IPO13,IQGAP1,ISOC1,ITFG1,ITGAE,ITGB1BP1,ITGB5,JMJD6,JUN,KAT6A,KAT6B,KCNK1,KCTD5,KDELR2,KDM3A,KDM5A,KDM5B,KEAP1,KIAA0100,KIAA0355,KIAA0753,KIAA0907,KIF14,KIF20A,KIF2C,KIF5C,KIT,KLHDC2,KLHL21,KLHL9,KTN1,LAGE3,LAMA3,LAP3,LBR,LGALS8,LGMN,LIG1,LIPA,LOXL1,LPAR2,LPGAT1,LRP10,LRPAP1,LRRC41,LSM5,LSM6,LSR,LYN,LYPLA1,LYRM1,MACF1,MALT1,MAMLD1,MAN2B1,MAP2K5,MAP3K4,MAP4K4,MAP7,MAPK13,MAPK1IP1L,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,MAST2,MAT2A,MBNL1,MBNL2,MBOAT7,MBTPS1,MCM3,MCOLN1,MCUR1,ME2,MEF2C,MELK,MEST,METRN,MFSD10,MICALL1,MKNK1,MLEC,MMP1,MMP2,MNAT1,MOK,MPC2,MPZL1,MRPL19,MRPS16,MRPS2,MSH6,MSRA,MTA1,MTF2,MTFR1,MTHFD2,MUC1,MVP,MYBL2,MYC,MYCBP,MYCBP2,MYL9,MYLK,NARFL,NCAPD2,NCK1,NCK2,NCOA3,NENF,NET1,NFATC3,NFATC4,NFE2L2,NFIL3,NFKB2,NFKBIA,NFKBIB,NFKBIE,NIPSNAP1,NISCH,NIT1,NMT1,NNT,NOL3,NOLC1,NOS3,NOSIP,NOTCH1,NPC1,NPDC1,NPEPL1,NPRL2,NR1H2,NR2F6,NR3C1,NRAS,NRIP1,NSDHL,NT5DC2,NUCB2,NUDCD3,NUDT9,NUP133,NUP62,NUP85,NUP88,NUP93,NUSAP1,NVL,ORC1,OXA1L,OXCT1,OXSR1,P4HA2,P4HTM,PACSIN3,PAF1,PAFAH1B1,PAFAH1B3,PAICS,PAK1,PAK4,PAK6,PAN2,PAPD7,PARP1,PARP2,PAX8,PCBD1,PCCB,PCK2,PCM1,PCMT1,PCNA,PDGFA,PDHX,PDIA5,PDLIM1,PDS5A,PECR,PEX11A,PFKL,PGAM1,PGM1,PGRMC1,PHGDH,PHKA1,PHKB,PHKG2,PIGB,PIH1D1,PIK3C2B,PIK3C3,PIK3CA,PIK3R3,PIK3R4,PIN1,PKIG,PLA2G15,PLA2G4A,PLCB3,PLEKHJ1,PLEKHM1,PLK1,PLOD3,PLP2,PLS1,PLSCR1,PMAIP1,PMM2,PNKP,PNP,POLB,POLD4,POLE2,POLG2,POLR1C,POLR2I,POLR2K,PPARD,PPARG,PPIC,PPIE,PPOX,PPP1R13B,PPP2R3C,PPP2R5A,PPP2R5E,PRAF2,PRCP,PRKACA,PRKAG2,PRKCD,PRKCH,PRKCQ,PRKX,PROS1,PRPF4,PRR15L,PRR7,PRSS23,PSIP1,PSMB10,PSMB8,PSMD10,PSMD2,PSMD4,PSMD9,PSME1,PSME2,PSMF1,PSMG1,PSRC1,PTGS2,PTK2,PTK2B,PTPN1,PTPN12,PTPN6,PTPRC,PTPRF,PTPRK,PUF60,PWP1,PXMP2,PXN,PYCR1,PYGL,RAB11FIP2,RAB21,RAB27A,RAB31,RAB4A,RAC2,RAD51C,RAD9A,RAE1,RAI14,RALA,RALB,RALGDS,RAP1GAP,RASA1,RB1,RBKS,RBM34,RBM6,REEP5,RELB,RFC2,RFC5,RFNG,RFX5,RGS2,RHEB,RHOA,RNF167,RNH1,RNMT,RNPS1,RPA1,RPA2,RPA3,RPIA,RPL39L,RPN1,RPP38,RPS5,RPS6,RPS6KA1,RRAGA,RRP12,RRP1B,RRP8,RSU1,RTN2,RUVBL1,S100A13,S100A4,SACM1L,SATB1,SCAND1,SCARB1,SCCPDH,SCP2,SCRN1,SCYL3,SDHB,SENP6,SERPINE1,SESN1,SFN,SGCB,SH3BP5,SHB,SHC1,SIRT3,SKIV2L,SKP1,SLC11A2,SLC1A4,SLC25A13,SLC25A14,SLC25A4,SLC25A46,SLC27A3,SLC2A6,SLC35A1,SLC35A3,SLC35B1,SLC35F2,SLC37A4,SLC5A6,SMAD3,SMARCA4,SMARCC1,SMARCD2,SMC1A,SMC3,SMC4,SMNDC1,SNAP25,SNCA,SNX11,SNX13,SNX6,SNX7,SOCS2,SORBS3,SOX2,SOX4,SPAG4,SPAG7,SPDEF,SPEN,SPP1,SPR,SPRED2,SPTAN1,SPTLC2,SQSTM1,SRC,SSBP2,ST3GAL5,ST6GALNAC2,ST7,STAMBP,STAP2,STAT1,STAT3,STAT5B,STK10,STK25,STMN1,STUB1,STX1A,STX4,STXBP1,STXBP2,SUPV3L1,SUV39H1,SUZ12,SYK,SYNE2,SYNGR3,SYPL1,TARBP1,TATDN2,TBC1D9B,TBP,TBPL1,TBX2,TBXA2R,TCEA2,TCEAL4,TCERG1,TCFL5,TCTA,TCTN1,TERF2IP,TERT,TES,TESK1,TEX10,TFAP2A,TFDP1,TGFB3,TGFBR2,TIAM1,TICAM1,TIMELESS,TIMM17B,TIMM22,TIMM9,TIMP2,TIPARP,TJP1,TLE1,TLK2,TLR4,TM9SF2,TM9SF3,TMCO1,TMED10,TMEM109,TMEM110,TMEM2,TMEM5,TMEM50A,TMEM97,TNFRSF21,TNIP1,TOMM34,TOP2A,TOPBP1,TOR1A,TP53,TP53BP1,TP53BP2,TPD52L2,TPM1,TRAK2,TRAM2,TRAP1,TRAPPC3,TRAPPC6A,TRIB1,TRIB3,TRIM13,TRIM2,TSC22D3,TSEN2,TSKU,TSPAN3,TSPAN4,TSPAN6,TSTA3,TUBB6,TWF2,TXLNA,TXNDC9,TXNL4B,TXNRD1,UBE2A,UBE2C,UBE2J1,UBE2L6,UBE3B,UBE3C,UBQLN2,UBR7,UFM1,UGDH,USP1,USP14,USP22,USP6NL,USP7,UTP14A,VAPB,VAT1,VAV3,VDAC1,VGLL4,VPS28,VPS72,WASF3,WDR61,WDR7,WDTC1,WFS1,WIPF2,WRB,XBP1,XPNPEP1,XPO7,YKT6,YME1L1,YTHDF1,ZDHHC6,ZFP36,ZMIZ1,ZMYM2,ZNF131,ZNF274,ZNF318,ZNF395,ZNF451,ZNF586,ZNF589,ZW10
CCLE.697,1,0,1,1,1,0,1,2,2,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,0,1,1,2,1,1,1,2,1,2,1,2,0,2,1,1,2,2,2,1,1,0,1,1,0,1,1,2,1,1,1,1,1,1,2,1,0,1,1,2,1,1,1,1,1,0,2,1,1,0,2,0,0,1,1,2,1,0,2,2,0,0,1,1,1,2,0,2,1,2,1,1,0,1,1,1,1,0,1,1,0,2,1,2,1,0,2,1,2,0,2,1,2,0,1,1,1,0,2,2,2,1,1,1,1,0,2,1,2,2,1,0,0,1,1,0,0,0,1,1,1,2,1,0,0,1,2,2,2,1,1,1,0,1,2,1,1,1,1,1,1,2,1,1,1,0,2,1,1,1,1,1,0,1,2,1,1,0,1,1,1,2,1,1,1,2,1,1,2,2,1,1,0,1,0,1,0,1,1,2,2,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,1,2,0,2,1,1,2,1,1,1,2,0,1,0,0,0,0,1,1,1,2,2,1,1,2,0,2,1,0,0,1,1,1,2,1,0,1,1,0,2,1,2,1,2,1,0,1,2,0,2,2,1,1,1,1,2,0,0,1,1,1,0,0,1,0,1,2,1,0,0,1,1,0,2,2,2,1,1,1,1,0,0,1,1,1,0,0,1,2,2,1,1,1,1,2,1,1,0,2,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,2,1,0,0,1,1,1,1,0,1,2,1,0,1,1,0,1,1,0,0,2,1,1,1,2,2,2,2,1,0,1,2,0,0,2,0,2,1,0,2,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,0,0,0,1,2,2,1,0,1,2,1,0,2,1,0,1,2,1,0,2,1,1,1,1,1,1,1,1,0,0,1,1,2,0,1,1,1,2,0,2,1,2,1,1,0,1,2,1,1,1,2,1,0,1,0,1,0,1,0,0,0,0,1,2,1,1,1,2,1,2,1,1,1,0,0,1,2,0,1,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,0,2,1,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,0,0,2,1,1,2,2,1,1,0,1,1,2,1,0,1,1,1,1,1,2,1,1,1,2,1,1,0,1,1,2,1,2,0,1,0,1,2,1,0,1,2,1,1,0,1,0,2,2,0,2,0,1,0,1,1,1,1,1,1,0,2,0,1,1,2,1,0,0,0,0,0,1,1,1,2,0,1,0,1,1,1,1,0,1,0,1,0,1,2,2,1,1,1,2,2,1,0,1,2,0,2,1,1,1,1,1,2,0,1,1,2,1,2,1,1,1,1,0,0,1,2,1,1,1,1,1,1,0,1,2,0,1,1,1,0,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,2,0,0,1,0,1,1,2,1,1,1,2,2,2,1,1,2,1,0,0,0,1,1,0,1,2,0,2,0,1,0,1,1,1,1,2,0,0,2,1,0,0,1,1,1,0,1,1,1,2,2,1,0,0,1,1,1,2,1,1,1,0,1,2,1,1,1,0,1,0,1,0,1,1,1,0,1,2,0,2,1,0,2,1,2,1,1,2,1,2,1,1,0,0,2,1,0,0,1,1,0,1,1,2,1,1,2,1,1,1,2,1,0,2,1,2,1,1,1,1,2,1,1,1,0,2,1,0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,0,2,2,2,1,1,0,1,1,1,1,1,0,2,0,2,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1
CCLE.ALLSIL,1,1,2,1,1,0,0,2,2,2,1,1,1,1,2,1,2,1,1,0,2,1,1,1,2,0,0,1,0,1,1,0,1,0,1,0,2,1,1,0,1,2,1,2,0,1,0,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,0,1,1,2,2,1,1,2,1,2,1,2,1,0,0,1,1,1,0,2,2,0,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,0,0,0,1,0,1,2,2,1,0,2,2,2,0,2,2,2,1,2,1,0,1,1,1,2,2,1,2,2,0,2,2,2,2,0,1,1,0,2,0,0,0,1,1,1,1,1,1,1,0,2,1,2,1,1,2,0,1,1,2,0,1,1,2,1,1,2,1,1,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,1,2,1,2,1,1,1,0,1,1,1,1,0,2,0,1,1,1,2,2,1,2,1,2,1,1,2,1,1,0,1,0,1,1,1,1,1,2,2,1,1,0,0,1,2,2,1,1,2,0,1,1,0,0,2,1,0,2,1,1,2,1,1,0,0,2,2,0,0,0,1,1,1,2,2,1,1,2,1,0,0,0,0,1,1,1,2,2,0,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,2,0,0,0,0,1,1,2,0,0,1,1,1,1,1,0,0,2,0,0,2,1,1,0,1,1,1,0,2,0,1,1,0,0,1,1,2,0,2,0,1,2,2,2,0,2,0,0,0,1,1,1,1,1,1,0,2,2,1,2,1,2,0,1,1,2,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,2,1,2,1,1,2,1,1,2,0,1,1,1,1,2,0,1,1,1,2,2,0,2,1,1,2,1,0,0,0,1,0,0,1,1,1,2,0,1,1,1,0,1,1,2,1,0,2,1,2,1,1,1,2,1,1,2,1,2,2,0,0,2,1,2,1,2,0,1,2,1,1,2,1,0,1,0,0,1,2,2,1,1,0,1,1,1,1,0,0,2,2,2,0,0,1,1,0,2,2,1,2,1,0,1,1,2,1,2,1,0,2,0,0,1,1,0,2,0,0,1,0,1,2,1,1,1,2,0,1,2,1,1,0,1,1,2,0,1,1,0,1,1,2,2,1,1,1,1,1,1,0,0,0,1,0,2,2,1,1,2,0,2,0,2,2,1,1,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,0,2,2,2,2,1,2,2,0,2,0,1,1,2,2,2,1,0,1,1,1,1,0,0,1,1,2,2,2,0,1,1,0,2,1,0,1,1,1,2,2,0,1,1,0,2,1,1,1,2,2,2,1,1,0,1,2,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,2,2,0,0,0,0,0,1,1,2,2,1,2,0,0,2,1,2,0,2,0,0,0,2,2,2,1,1,1,2,2,2,2,1,2,0,0,1,1,1,1,1,1,0,2,2,2,0,0,0,1,1,1,0,0,1,2,2,2,0,1,1,1,0,1,1,0,0,1,1,0,1,2,2,1,0,2,2,1,1,2,2,1,1,2,2,0,1,0,1,1,2,2,1,1,2,1,0,1,0,2,2,1,1,1,2,1,0,2,1,1,0,0,0,1,2,1,0,1,1,1,2,2,0,1,0,1,0,0,0,2,1,0,1,1,1,2,2,2,2,1,2,2,0,0,0,1,1,0,1,2,0,2,0,0,0,2,1,0,1,2,1,0,0,1,1,0,0,2,1,1,1,2,1,2,2,1,0,0,2,0,1,2,1,0,2,0,2,1,2,1,2,0,1,0,1,1,1,2,1,0,2,0,0,2,1,0,2,1,1,2,1,2,1,1,1,1,0,0,0,2,0,1,1,2,1,2,1,1,0,1,2,1,1,1,2,2,1,1,1,0,1,0,0,1,1,2,2,0,1,1,1,0,1,1,2,1,1,1,0,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,0,2,1,1,0,2,1,1,1,2,1,2,1,2,0,1,1,2,1,1,1,1,1,1,1
CCLE.AML193,0,0,2,1,2,0,1,1,2,2,0,1,2,1,1,1,1,2,1,0,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,0,0,2,1,2,0,1,2,1,2,1,2,2,2,1,1,1,2,0,2,1,0,1,1,1,2,2,1,2,1,1,2,2,1,0,1,1,0,1,1,1,2,1,2,1,0,2,2,0,1,2,2,1,0,1,2,1,1,1,1,1,2,1,1,1,0,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,0,0,1,1,2,2,2,0,1,1,1,1,2,1,1,0,1,2,1,1,1,2,0,2,1,1,0,0,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,0,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,0,1,1,2,2,1,1,1,1,2,2,1,1,0,1,2,2,0,1,1,0,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,0,2,1,0,1,1,2,2,1,2,1,1,2,1,0,0,1,1,1,1,1,1,1,2,1,1,2,0,0,1,0,1,1,2,1,0,1,1,0,2,2,1,1,0,0,1,1,0,1,1,1,1,1,2,1,0,1,0,1,1,2,0,0,1,1,1,1,1,0,0,1,1,0,2,2,1,1,2,1,1,0,1,0,1,0,0,0,1,2,1,0,1,0,2,1,1,2,1,1,1,0,0,2,1,1,1,2,2,1,2,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,2,0,1,1,1,0,2,0,0,2,1,2,2,1,1,1,1,2,1,0,1,1,2,1,2,0,1,1,2,1,0,1,1,1,2,1,0,1,1,1,1,0,2,1,1,1,2,1,1,1,0,2,1,1,0,0,1,1,1,1,2,1,2,0,0,1,0,1,1,0,0,0,2,2,1,2,0,1,2,1,0,2,2,0,2,1,1,2,0,2,2,1,1,1,1,1,1,0,2,2,2,1,0,2,1,1,1,2,0,0,2,1,0,1,1,2,1,1,1,0,1,0,2,2,1,1,1,0,1,2,0,1,1,1,0,1,1,2,1,1,1,0,1,1,1,2,0,1,1,0,1,1,2,1,0,2,1,1,0,1,1,1,0,1,1,0,2,1,1,1,2,1,0,1,0,1,1,1,2,1,2,0,1,0,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,0,2,1,1,0,1,1,2,1,0,0,1,1,1,1,2,1,1,2,2,2,0,1,2,0,1,1,2,1,1,2,2,0,1,2,1,1,2,0,0,1,1,2,1,0,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,0,0,0,1,0,0,2,2,1,0,2,1,1,2,0,0,1,2,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,2,0,0,1,0,2,1,1,1,0,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,0,1,2,1,0,1,1,1,0,1,2,0,1,1,2,0,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,0,2,2,1,1,0,2,1,0,1,2,2,1,1,1,2,2,1,1,0,0,0,1,1,1,1,1,1,1,2,1,0,1,1,0,0,1,2,0,2,1,0,1,1,2,1,1,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,2,2,2,0,1,1,1,1,2,0,1,0,0,2,1,1,1,2,1,1,0,1,2,1,1,1,0,2,0,1,1,1,2,2,1,2,0,2,1,1,1,2,2,0,0,0,1,2,1,1,2,1,2,1,1,1,0,2,1,1,1,1,2,2,0,1,2,1,1,0,1,1,2,2,1,1,2,0,1,1,0,0,2,1,2,0,2,1,1,2,0,1,2,2,2,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,0,2,1,2,0,2,1,2,1,2,1,1,2,2,0,1,1,1,1,1,1,0,1,1,1
CCLE.BCP1,1,0,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1,2,1,0,2,2,1,1,1,0,0,1,1,2,0,1,2,1,1,2,1,2,0,2,0,1,0,2,0,0,1,2,1,1,0,1,1,2,1,1,2,1,1,2,1,2,0,1,2,1,2,0,2,2,2,1,1,2,1,1,2,2,1,0,0,2,1,0,1,2,0,1,1,0,1,1,1,2,1,0,1,0,1,1,2,2,1,0,0,1,0,1,1,1,1,0,2,2,1,0,0,1,2,1,1,2,0,0,0,1,2,2,1,1,1,0,2,1,1,1,0,0,1,2,2,1,0,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,0,0,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0,2,1,1,1,1,2,2,2,2,1,2,0,1,0,2,1,1,2,2,1,2,1,2,1,0,0,0,0,2,2,2,2,0,1,0,0,0,2,0,0,0,0,2,1,2,1,0,1,2,1,1,0,0,2,1,1,1,2,0,0,1,1,1,2,1,1,1,0,2,0,2,1,0,2,2,0,1,1,1,0,0,0,2,2,2,0,0,1,1,1,0,2,0,0,2,2,1,2,2,1,1,1,0,2,0,1,0,0,1,0,0,1,1,2,0,0,1,1,2,1,2,1,2,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,2,1,2,1,1,2,1,2,2,0,1,2,0,0,2,1,2,1,1,2,1,1,2,1,1,1,1,0,0,0,0,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1,2,1,1,0,0,1,1,2,1,2,0,1,1,0,0,1,0,0,1,1,2,2,1,2,1,1,1,1,1,1,2,0,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,0,2,1,2,2,1,0,1,1,1,0,1,0,1,0,0,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,0,1,2,1,1,1,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,0,0,1,0,1,1,0,2,2,1,0,2,0,2,1,1,1,2,2,1,0,2,0,1,1,0,2,1,0,0,1,0,1,1,0,2,1,1,1,1,1,0,2,2,2,1,2,1,1,1,1,2,0,2,0,1,1,2,0,2,1,2,2,1,0,0,1,0,2,1,2,2,2,2,1,0,2,1,1,2,1,1,0,1,1,2,2,0,0,1,0,1,1,1,0,0,1,2,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,2,2,1,1,0,1,0,0,1,1,2,0,0,2,1,1,2,1,1,2,1,1,2,1,0,1,0,1,1,1,0,2,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,0,1,1,1,1,0,1,1,2,1,0,0,1,1,2,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,2,2,2,2,1,1,0,0,2,1,2,1,1,2,2,1,2,1,1,2,1,0,0,1,2,1,0,1,1,0,0,0,1,0,1,1,2,2,2,1,1,0,0,0,0,1,2,0,1,1,1,1,0,1,2,1,0,1,1,1,2,2,1,1,0,1,0,1,1,1,0,1,0,1,2,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,1,2,2,0,2,1,1,0,1,0,0,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,0,1,1,1,2,2,2,2,1,0,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2,1,1,0,1,1,1,2,2,2,1,1,2,1,0,1,1,1,1,0,1,1,2,0
